username,repo_name,stars,repo_url
mrdoob,three.js,73500,https://github.com/mrdoob/three.js
libgdx,libgdx,18800,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,14600,https://github.com/BabylonJS/Babylon.js
pmndrs,react-three-fiber,14600,https://github.com/pmndrs/react-three-fiber
aframevr,aframe,13000,https://github.com/aframevr/aframe
ssloy,tinyrenderer,11100,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,10900,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,9700,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,8600,https://github.com/metafizzy/zdog
CesiumGS,cesium,7400,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,6900,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,6900,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,4900,https://github.com/isl-org/Open3D
spritejs,spritejs,4600,https://github.com/spritejs/spritejs
tensorspace-team,tensorspace,4500,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4400,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4400,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com/AaronJackson/vrn
domlysz,BlenderGIS,4200,https://github.com/domlysz/BlenderGIS
openscad,openscad,4200,https://github.com/openscad/openscad
ssloy,tinyraytracer,3800,https://github.com/ssloy/tinyraytracer
mosra,magnum,3600,https://github.com/mosra/magnum
google,model-viewer,3200,https://github.com/google/model-viewer
blender,blender,3200,https://github.com/blender/blender
gfxfundamentals,webgl-fundamentals,3100,https://github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3100,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3000,https://github.com/jasonlong/isometric-contributions
rg3dengine,rg3d,2500,https://github.com/rg3dengine/rg3d
antvis,L7,2400,https://github.com/antvis/L7
cnr-isti-vclab,meshlab,2300,https://github.com/cnr-isti-vclab/meshlab
